trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,10382660.112209592015,9574859.886985683814,0.0,0.0
2,10273303.516273001209,10015845.372845811769,0.0,0.0
3,9905132.452294616029,11494033.751765016466,0.0,0.0
4,10222613.255232170224,10221050.480315295979,0.0,0.0
5,10327889.873256625608,9804912.940380353481,0.0,0.0
6,10537554.039339514449,8956913.936822023243,0.0,0.0
7,10440568.840177720413,9352337.081030281261,0.0,0.0
8,10247585.937144421041,10120780.099981060252,0.0,0.0
9,9751783.684243038297,12097361.904334146529,0.0,0.0
10,10133988.429822158068,10575838.557659035549,0.0,0.0
11,9858384.406946219504,11683973.754950894043,0.0,0.0
12,10719788.723770523444,8257621.2987614208832,0.0,0.0
13,9731060.78358727321,12204946.273709284142,0.0,0.0
14,10070537.072645094246,10824326.842794330791,0.0,0.0
15,10733873.944897565991,8173069.398494712077,0.0,0.0
16,10194044.163779465482,10334911.96536471881,0.0,0.0
17,10109867.223742179573,10669883.283320304006,0.0,0.0
18,10954593.753769973293,7289282.7218373678625,0.0,0.0
19,9985893.179050080478,11166184.005772644654,0.0,0.0
20,9866840.553664624691,11653599.881950845942,0.0,0.0
21,10453389.769863281399,9298078.8721837848425,0.0,0.0
22,10175629.860391033813,10407601.721015866846,0.0,0.0
23,10393869.957508163527,9540401.867503155023,0.0,0.0
24,9980301.159561775625,11204945.130399663001,0.0,0.0
25,10109230.206698067486,10673188.0934402327985,0.0,0.0
