trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,163271.03301367969834,161152.99720586361946,0.0,0.0
2,163484.86441610974725,160388.1597981924715,0.0,0.0
3,162395.39542701069149,164604.99773203374934,0.0,0.0
4,163168.19640979822725,161677.78380230002222,0.0,0.0
5,162008.88983856289997,166217.1580698294274,0.0,0.0
6,162234.87213378833258,165385.77491839020513,0.0,0.0
7,163258.24200703387032,161261.29829914559377,0.0,0.0
8,162473.3569158691389,164348.3773409461428,0.0,0.0
9,163247.6936831100611,161283.88340968580451,0.0,0.0
10,163122.61169503154815,161852.74209702006192,0.0,0.0
11,163290.28277489478933,161086.42585893941578,0.0,0.0
12,162248.69255968788639,165262.75617166198208,0.0,0.0
13,162401.58782072708709,164753.94568253445323,0.0,0.0
14,162548.98142072587507,164137.57097317778971,0.0,0.0
15,163846.45320791666745,158885.17711264654645,0.0,0.0
16,162363.41478608487523,164903.75117622263497,0.0,0.0
17,163421.10134849103633,160501.15657581362757,0.0,0.0
18,162547.56707538268529,163960.44701815833105,0.0,0.0
19,162958.35452215975965,162519.40035151140182,0.0,0.0
20,163042.58827348149498,162176.7646173541143,0.0,0.0
21,163076.38450321060373,162057.13312353836955,0.0,0.0
22,163701.04778742147028,159555.45078422068036,0.0,0.0
23,162891.236534442025,162755.37146650732029,0.0,0.0
24,162220.85504560216214,165442.19779219888733,0.0,0.0
25,162459.15290610611555,164511.47271885216469,0.0,0.0
