,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,280138.92903291329276,283626.57813167007407,0.0,0.0
2,280667.91713024571072,281508.79243346076692,0.0,0.0
3,280860.98964666947722,280511.5085105432081,0.0,0.0
4,281463.82983977202093,278444.53009920899058,0.0,0.0
5,281129.3518291391083,279556.17668239201885,0.0,0.0
6,280067.2071271536406,284044.7559485163074,0.0,0.0
7,280746.7559709995403,281271.73374532035086,0.0,0.0
8,280584.69453368824907,281804.13805083394982,0.0,0.0
9,280996.39125354250427,280243.21372841042466,0.0,0.0
10,281893.06717925640987,276705.3107345091994,0.0,0.0
11,281795.28584119857987,277036.83517508301884,0.0,0.0
12,279736.91366584337084,285308.7548330835998,0.0,0.0
13,280447.11222136905417,282458.78385894332314,0.0,0.0
14,280501.0490398267866,282238.84210287610767,0.0,0.0
15,281801.8837373223505,276961.67673454131,0.0,0.0
16,280746.25529418920632,281258.94795492989942,0.0,0.0
17,280937.783603770833,280085.54979463393101,0.0,0.0
18,280040.94912261905847,284000.4503578557633,0.0,0.0
19,281050.09032445616322,280111.8261971367756,0.0,0.0
20,281493.6375351251918,278312.24654297204688,0.0,0.0
21,280393.43219343596138,282729.071277261246,0.0,0.0
22,282023.65645119274268,276146.55124082003022,0.0,0.0
23,280693.36819264327642,281525.3882300280966,0.0,0.0
24,280124.24093003600137,283669.86492794100195,0.0,0.0
25,281054.59179326781305,280011.33490950707346,0.0,0.0
