trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,7097051.615618528798,6546264.825727960095,-0.03097242405243560981,-0.028797493795612361112
2,7025132.764505338855,6833860.5759653327987,-0.028818243735346360523,-0.040853802260396365753
3,6802175.5528041766956,7725774.0438555441797,-0.037032956627873536704,-0.019928215014214600842
4,6986507.9107020441443,6988295.12970443815,-0.029932183837811932037,-0.03321580608115071165
5,7023493.0621998189017,6840377.1106326393783,-0.02780277751755266813,-0.0522218420947886397
6,7182542.002434534952,6204438.4384223604575,-0.028639905637516838155,-0.04888260511119013607
7,7116259.347305189818,6469431.02163886372,-0.02790073008969740087,-0.05710398093656610108
8,7006219.244165020995,6909381.481275024824,-0.03567508716816791825,-0.019175758398207065625
9,6706672.0516098821536,8107829.4409653693438,-0.032969264354856919752,-0.025934952111330789037
10,6922659.959322893992,7243733.7996731931344,-0.029283256190069772984,-0.036263827840139484238
11,6765634.096475932747,7871595.389823890291,-0.035451767949428392157,-0.021915942786074671389
12,7277929.919470638968,5823016.8953375071287,-0.028758312827303011971,-0.05430161192741689291
13,6699294.9074487769976,8137389.144096130505,-0.032355978855268086036,-0.027100701070957633476
14,6890599.479108709842,7372024.97957805451,-0.0278896710546265858,-0.04593167483580207211
15,7300906.5593508556485,5730437.6610269369557,-0.030108657713480591056,-0.03609907000621537243
16,6966900.464007263072,7066651.9626008318737,-0.03011927489114873957,-0.032277020497597730397
17,6913982.7289077127352,7278337.5266246106476,-0.029035119215450544417,-0.037634458490060529456
18,7436442.1053605778143,5188251.273196717724,-0.02994616318270582056,-0.044691657338916668252
19,6846731.2892214674503,7547561.608192153275,-0.03402223640495516399,-0.022955541537776680272
20,6770291.220184511505,7853413.6141078229994,-0.030345220107098835882,-0.03162405390398248528
21,7128056.5689504109323,6422229.2988324686885,-0.02864406245270600948,-0.045941887674040060574
22,6954686.1860685013235,7115618.388371916488,-0.028798174144640142913,-0.03970738695004905061
23,7086190.4531273869798,6589480.885354526341,-0.030326984091292308321,-0.031695550034183783694
24,6840336.4693710077554,7573115.9288150006905,-0.037351097870906624365,-0.019231502535715039315
25,6925075.976540234871,7234055.9318788945675,-0.029396721471740550058,-0.035656290537108947802
