trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,163356.41937690929626,161129.15005477287923,-0.00036834965037790823317,-0.00052355381885793583763
2,163513.18795910288463,160503.29797418881208,-7.868024118007355128e-05,-0.00036515162455685867826
3,162390.32896258553956,164995.37772916370886,-3.2677833317062976448e-06,-0.0037787587221933538473
4,163209.51704065300873,161716.91957787287538,-0.00012378630300058368618,-9.851296593077485397e-05
5,162085.53162668686127,166212.67928036261583,-0.00028942588169478256077,-0.00017822380488485833894
6,162259.1678228926321,165517.87311548448633,-5.4534675496098472536e-05,-0.0006123764745060711334
7,163332.42014204888255,161224.91600353777176,-0.00031344918994191672823,-0.00028498922884323540927
8,162550.41863596739131,164352.89598617283627,-0.0002749639260346548042,-0.00014274355604482202864
9,163256.17807687309687,161530.80430636944948,-7.1701364574572323818e-06,-0.0019415529967041766923
10,163156.58707358362153,161928.57677213288844,-0.000100337379454806807644,-0.00020626128112022357186
11,163365.40293365740217,161093.03660111033241,-0.00024156629366700599348,-6.760944499606402758e-05
12,162263.29281899370835,165501.67492764693452,-2.4395730744641852539e-05,-0.0011858239207744869503
13,162425.15768485583249,164855.19038659409853,-3.936364013323867539e-05,-0.0008499989821457720751
14,162577.6573977196822,164244.8944996848586,-9.855422522009327224e-05,-0.00021645970463368691128
15,163923.1869915961579,158860.36353076304658,-0.00030977503949003448724,-0.0002855041233085220398
16,162404.13578519993462,164937.91007694721338,-9.8615973640248100196e-05,-0.00021397021612346023289
17,163430.56513881398132,160833.76405394895119,-1.34943922269759042365e-05,-0.0016122077798939038473
18,162642.21666204126086,163984.89296814915724,-0.00037031678058374595253,-0.00051402978701253765337
19,162999.61007644140045,162556.09486263222061,-0.00013155358398586614044,-7.072133404850688976e-05
20,163077.98066453589126,162242.51344595849514,-0.000100292833314030715997,-0.00020290285847646138961
21,163108.91270054422785,162119.76954021697748,-6.657826811085065799e-05,-0.00047784123211158657796
22,163743.52461612655316,159581.5656466371147,-0.000149276878727455653,-2.8593037301627433067e-05
23,162949.16816819240921,162757.52230740108644,-0.00016715423882907032294,-6.188523583805505268e-06
24,162245.83055934103322,165572.51721169188386,-9.890509502841204892e-05,-0.00021331962961257389111
25,162507.54020371611114,164525.275704365602,-0.00012346060817902682061,-9.9503135098322204044e-05
