trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,287798.93501961254515,293685.48518285324099,-0.0823937955840741143,-0.10313695551057211475
2,289133.56876358040608,288356.58295879425714,-0.09033450031562750837,-0.07160077626204874868
3,289833.15592583513353,285548.83470599388238,-0.09218031465655673884,-0.06511168427587876728
4,289494.76888788107317,286904.8066593814874,-0.08521096333395572486,-0.091145151395126244864
5,288624.97647241025697,290388.36170076410053,-0.08201345171897012065,-0.1051578679385278825
6,288430.75507836963516,291172.37110118410783,-0.08901048130736199937,-0.076434836428723285096
7,288512.6196396377636,290842.10656609595753,-0.08454589506187248915,-0.093958284996099816766
8,288058.0920846053632,292651.67918951093452,-0.08390843188063024094,-0.096570558150240293216
9,289549.5945432461449,286687.2681338500115,-0.088053198147650890704,-0.07982231303919173904
10,290335.59891649452038,283531.6501328825252,-0.086420845420979386375,-0.086076045203435702646
11,289274.3366611720412,287797.23207869858015,-0.081721872394521666294,-0.106747192412430136343
12,288195.83857926004566,292099.75160534959286,-0.08934335388286651636,-0.075150920750799210523
13,288976.152152730152,288976.75586222519632,-0.089537222564135321434,-0.07433011452648718986
14,288904.04163745540427,289261.10597816953668,-0.08965199060118966834,-0.073940940626215923004
15,289532.75881008128636,286747.98574336548336,-0.081851159114036509123,-0.10601665092112089184
16,288635.8548566501122,290332.78857180307386,-0.08387735086486403091,-0.09666633335885022049
17,290019.05550638434943,284812.32232570648193,-0.0911272592659502223,-0.068676077057180817675
18,287737.75990039412864,293936.78619452292332,-0.08376522495882854358,-0.09715729727705491037
19,289073.07567295618355,288587.02671725017717,-0.0877581991474736256,-0.08089042148396163867
20,289417.63051775231725,287215.1984228946967,-0.08542464761795032224,-0.09025252852221443689
21,288568.7392488507321,290617.24867669452215,-0.08752397426952707171,-0.081951724179084584065
22,289824.13560022244928,285592.9955621334375,-0.08395338553168318896,-0.09665364891664163238
23,288877.91170540626626,289373.00731925078435,-0.08667789348592003229,-0.085153588396069679334
24,288784.18011152552208,289749.4286664793617,-0.089446091959271445404,-0.074777882193134637134
25,288830.0300856838585,289552.7779586922843,-0.084339227217121059965,-0.094655006143069764235
