2020, 502
2007, 348
2006, 316
2005, 306
2004, 277
1944, 137
1915, 132
1917, 266
1960, 142
1921, 160
1923, 125
1970, 233
1920, 131
1979, 366
1990, 175
1998, 163
1966, 133
1942, 101
1941, 112
1982, 145
1973, 151
1977, 167
1953, 217
1946, 102
1955, 172
1931, 167
1949, 172
1964, 138
1948, 66
1958, 167
1972, 154
1916, 131
1974, 206
1950, 227
1930, 108
1971, 109
1924, 251
1926, 190
1927, 99
1945, 149
1952, 173
1911, 166
1929, 154
0, 77
1997, 187
1984, 220
1910, 90
1951, 221
1956, 133
1981, 275
1909, 24
1935, 83
1936, 123
1961, 167
1919, 165
1925, 91
1928, 168
1918, 129
1940, 89
1933, 73
1968, 213
1999, 279
1943, 115
1914, 105
1922, 116
1975, 211
1932, 116
1912, 56
1978, 152
1983, 160
1913, 84
1947, 122
1934, 133
1937, 59
1938, 100
1967, 112
1976, 134
2000, 192
1994, 217
1954, 158
1878, 1
1895, 1
1896, 1
1898, 5
1907, 10
1908, 16
1986, 172
1980, 319
1962, 109
1959, 206
1900, 12
1957, 155
2003, 341
1969, 131
1988, 257
1996, 319
1991, 89
1992, 197
1995, 208
1987, 286
1939, 151
2001, 207
1903, 2
1905, 1
1906, 4
1985, 211
1989, 181
2002, 243
1965, 62
1993, 172
1963, 79
2008, 440
2010, 209
2016, 353
2012, 352
2014, 238
1902, 1
2009, 254
2011, 316
2013, 298
2015, 315
2017, 607
2018, 414
2019, 312
2021, 376
